,index,Id,municipio,departamento,Si,No,validos,nulos,nomarcados,total votos,habilitados,TIPO DE VICTIMA,TOTAL
1332,239,29007,ALVARADO,TOLIMA,1312,1415,2727,36,24,2787,8422,Víctimas de conflicto armado,456
1333,255,29034,COYAIMA,TOLIMA,3404,2081,5485,81,119,5685,17192,Víctimas de conflicto armado,1269
1334,292,29088,PIEDRAS,TOLIMA,974,959,1933,25,10,1968,5387,Víctimas de conflicto armado,169
1335,209,68004,CARURU,VAUPES,382,76,458,7,0,465,1721,Víctimas de conflicto armado,357
1336,210,68001,MITU,VAUPES,2705,872,3577,30,20,3627,15576,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,18
1337,212,68017,TARAIRA,VAUPES,243,65,308,1,36,345,1377,Víctimas de conflicto armado,71
1338,211,68001,MITU,VAUPES,2705,872,3577,30,20,3627,15576,Víctimas de conflicto armado,6485
1339,213,68022,YAVARATE,VAUPES,278,37,315,0,1,316,1035,Víctimas de conflicto armado,17
1340,4,72006,CUMARIBO,VICHADA,2717,952,3669,52,42,3763,19420,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,209
1341,5,72006,CUMARIBO,VICHADA,2717,952,3669,52,42,3763,19420,Víctimas de conflicto armado,1230
