,index,Id,municipio,departamento,Si,No,validos,nulos,nomarcados,total votos,habilitados,TIPO DE VICTIMA,TOTAL
1289,282,29079,MELGAR,TOLIMA,3102,7663,10765,130,47,10942,27553,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,89
1290,281,29073,LIBANO,TOLIMA,5158,5238,10396,226,145,10767,32895,Víctimas de conflicto armado,14279
1291,280,29073,LIBANO,TOLIMA,5158,5238,10396,226,145,10767,32895,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,129
1292,279,29070,LERIDA,TOLIMA,2748,2812,5560,77,28,5665,15269,Víctimas de conflicto armado,1591
1293,278,29070,LERIDA,TOLIMA,2748,2812,5560,77,28,5665,15269,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,12
1294,277,29067,ICONONZO,TOLIMA,1498,1335,2833,49,30,2912,8395,Víctimas de conflicto armado,2086
1295,276,29067,ICONONZO,TOLIMA,1498,1335,2833,49,30,2912,8395,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,20
1296,257,29037,CUNDAY,TOLIMA,1075,1516,2591,31,26,2648,7208,Víctimas de conflicto armado,1595
1297,291,29088,PIEDRAS,TOLIMA,974,959,1933,25,10,1968,5387,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,3
1298,256,29037,CUNDAY,TOLIMA,1075,1516,2591,31,26,2648,7208,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,8
1299,254,29034,COYAIMA,TOLIMA,3404,2081,5485,81,119,5685,17192,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,12
1300,302,29103,ROVIRA,TOLIMA,1776,4287,6063,152,57,6272,19506,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,26
1301,303,29103,ROVIRA,TOLIMA,1776,4287,6063,152,57,6272,19506,Víctimas de conflicto armado,2804
1302,304,29105,SALDAÑA,TOLIMA,1463,2954,4417,53,22,4492,12416,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,6
1303,305,29105,SALDAÑA,TOLIMA,1463,2954,4417,53,22,4492,12416,Víctimas de conflicto armado,346
1304,306,29115,SUAREZ,TOLIMA,700,1095,1795,15,3,1813,4386,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,2
1305,307,29115,SUAREZ,TOLIMA,700,1095,1795,15,3,1813,4386,Víctimas de conflicto armado,105
1306,301,29100,RONCESVALLES,TOLIMA,768,728,1496,48,22,1566,4175,Víctimas de conflicto armado,396
1307,308,29121,VENADILLO,TOLIMA,1929,2478,4407,52,29,4488,11721,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,34
1308,310,29124,VILLAHERMOSA,TOLIMA,605,1732,2337,39,43,2419,7181,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,4
1309,311,29124,VILLAHERMOSA,TOLIMA,605,1732,2337,39,43,2419,7181,Víctimas de conflicto armado,866
1310,312,29127,VILLARRICA,TOLIMA,671,1070,1741,42,10,1793,5204,Víctimas de conflicto armado,584
1311,297,29094,PURIFICACION,TOLIMA,4045,4139,8184,105,50,8339,20186,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,10
1312,294,29089,PLANADAS,TOLIMA,2818,3081,5899,198,108,6205,19662,Víctimas de conflicto armado,4365
1313,295,29091,PRADO,TOLIMA,1121,1799,2920,43,36,2999,7933,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,12
1314,309,29121,VENADILLO,TOLIMA,1929,2478,4407,52,29,4488,11721,Víctimas de conflicto armado,1056
1315,300,29097,RIOBLANCO,TOLIMA,2209,2317,4526,119,133,4778,16033,Víctimas de conflicto armado,5643
1316,299,29097,RIOBLANCO,TOLIMA,2209,2317,4526,119,133,4778,16033,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,6
1317,238,29004,ALPUJARRA,TOLIMA,452,1005,1457,46,14,1517,3725,Víctimas de conflicto armado,617
1318,253,29031,COELLO,TOLIMA,1488,1157,2645,34,22,2701,7709,Víctimas de conflicto armado,202
1319,252,29031,COELLO,TOLIMA,1488,1157,2645,34,22,2701,7709,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,1
1320,251,29040,CHAPARRAL,TOLIMA,5476,6694,12170,172,174,12516,38101,Víctimas de conflicto armado,8537
1321,250,29040,CHAPARRAL,TOLIMA,5476,6694,12170,172,174,12516,38101,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,30
1322,249,29028,CASABIANCA,TOLIMA,922,953,1875,22,29,1926,4940,Víctimas de conflicto armado,556
1323,248,29028,CASABIANCA,TOLIMA,922,953,1875,22,29,1926,4940,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,1
1324,247,29022,CAJAMARCA,TOLIMA,1823,4084,5907,85,54,6046,16190,Víctimas de conflicto armado,2828
1325,246,29022,CAJAMARCA,TOLIMA,1823,4084,5907,85,54,6046,16190,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,18
1326,245,29019,ATACO,TOLIMA,1658,3451,5109,68,75,5252,14957,Víctimas de conflicto armado,6523
1327,244,29019,ATACO,TOLIMA,1658,3451,5109,68,75,5252,14957,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,55
1328,243,29013,ANZOATEGUI,TOLIMA,693,1576,2269,42,51,2362,7462,Víctimas de conflicto armado,2334
1329,242,29013,ANZOATEGUI,TOLIMA,693,1576,2269,42,51,2362,7462,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,41
1330,241,29010,AMBALEMA,TOLIMA,1216,1126,2342,47,14,2403,6922,Víctimas de conflicto armado,362
1331,240,29010,AMBALEMA,TOLIMA,1216,1126,2342,47,14,2403,6922,Víctimas reconocidas Sentencia C280 y Auto 119 de 2013,4
